"Installed renewable electricity capacity (MW) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Andorra","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Andorra","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Andorra","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Andorra","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Austria","Total renewable energy",12478.0000,12513.0000,12416.0000,12879.0000,13182.0000,14242.5810,14643.4510,15085.4210,15569.9020,15860.1170,16176.7130,16707.7960,16655.9930,17192.1470,17839.2900,18472.7330,19336.0380,19596.3060,20375.5990,20773.5420,21125.6250,22013.6250
"Austria","Hydropower",11613.0000,11640.0000,11504.0000,11545.0000,11578.0000,11799.0420,11825.0960,11988.1890,12440.9500,12630.4300,12894.8480,13177.3900,13308.8890,13383.3960,13532.2520,13649.6550,14116.3140,14149.9480,14516.2460,14597.1080,14604.5320,14545.5320
"Austria","Renewable hydropower",11613.0000,11640.0000,11504.0000,11545.0000,11578.0000,11799.0420,11825.0960,11988.1890,12440.9500,12630.4300,12894.8480,13177.3900,13308.8890,13383.3960,13532.2520,13649.6550,14116.3140,14149.9480,14516.2460,14597.1080,14604.5320,14545.5320
"Austria","Pumped storage",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Austria","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Austria","Wind",50.0000,67.0000,109.0000,322.0000,581.0000,825.2190,968.2690,991.1590,991.9740,1000.9850,1015.8280,1105.9660,1337.1500,1674.5380,2110.2750,2488.7260,2729.9960,2886.6980,3132.7130,3224.1170,3225.9850,3523.9850
"Austria","Onshore wind energy",50.0000,67.0000,109.0000,322.0000,581.0000,825.2190,968.2690,991.1590,991.9740,1000.9850,1015.8280,1105.9660,1337.1500,1674.5380,2110.2750,2488.7260,2729.9960,2886.6980,3132.7130,3224.1170,3225.9850,3523.9850
"Austria","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
