"Installed renewable electricity capacity (MW) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"World","Total renewable energy",752962.5899,773578.5539,793489.2289,824760.4509,858787.2179,899400.2419,941375.3529,992531.2579,1056437.7659,1136441.5451,1224222.8901,1330678.4210,1443956.7237,1566304.1917,1698022.9197,1851380.9157,2013732.4557,2184464.1898,2357958.9513,2541478.2653,2808273.4223,3068297.1333
"World","Hydropower",782136.5899,789860.7419,802741.0449,823047.4969,845265.7309,870942.2869,895030.3889,926127.4219,957455.0679,991892.9461,1025434.3921,1056907.8200,1090156.2277,1137117.0207,1175547.9267,1210201.7977,1245460.3997,1270469.9097,1293203.7457,1311570.8587,1335495.7917,1360502.0497
"World","Renewable hydropower",697170.0399,709061.1919,720165.4949,740359.9469,761267.1809,784099.7369,805505.8389,832427.8719,861836.5179,891654.8961,925674.3421,953926.6100,984550.9337,1029384.7767,1066074.1827,1098297.0537,1128523.6157,1150626.2457,1172843.5817,1190961.6947,1211607.4677,1230339.9307
"World","Pumped storage",84966.5500,80799.5500,82575.5500,82687.5500,83998.5500,86842.5500,89524.5500,93699.5500,95618.5500,100238.0500,99760.0500,102981.2100,105605.2940,107732.2440,109473.7440,111904.7440,116936.7840,119843.6640,120360.1640,120609.1640,123888.3240,130162.1190
"World","Marine",237.7500,239.2500,242.2500,243.2500,242.2500,240.2500,239.2500,241.5500,244.5500,245.2650,249.5950,502.6800,509.4090,509.6160,513.0270,512.5280,523.2080,527.1640,527.2560,525.7360,523.5410,523.5410
"World","Wind",16932.4830,23968.9650,30733.4120,38669.5460,47684.3920,58407.1250,73160.6730,91552.0590,115564.2900,150136.5830,180866.2970,220120.6250,266916.8190,299838.3420,349305.8140,416169.1710,466866.0230,514196.2500,564315.9560,621083.2040,731623.1530,823484.3670
"World","Onshore wind energy",16865.7330,23893.2150,30493.6620,38159.1960,47088.8420,57721.5750,72277.1230,90458.0090,114121.8400,148003.0330,177810.9470,216344.8150,261582.8690,292667.0920,340814.0440,404451.6010,452524.1730,495359.5000,540726.3560,592780.9040,697265.5030,769227.3870
"World","Offshore wind energy",66.7500,75.7500,239.7500,510.3500,595.5500,685.5500,883.5500,1094.0500,1442.4500,2133.5500,3055.3500,3775.8100,5333.9500,7171.2500,8491.7700,11717.5700,14341.8500,18836.7500,23589.6000,28302.3000,34357.6500,54256.9800
"World","Solar",1227.6690,1338.9860,1639.0590,2353.4300,3440.3790,4936.5190,6505.5930,8985.4660,15264.5410,23609.5670,41603.6300,73920.4930,104312.8450,141169.8970,180216.1060,228053.6720,300199.0000,395272.7271,488801.2466,591000.0466,717210.9256,854795.1026
"World","Solar photovoltaic",808.6690,1092.9860,1437.0590,1965.0300,3051.9790,4548.1190,6093.1930,8506.4660,14729.5410,22844.4670,40337.8100,72215.9730,101746.3250,137227.9640,175617.1730,223203.6290,295228.9570,390203.6141,482990.3126,584623.1626,710700.2416,848404.5486
"World","Concentrated solar power",419.0000,246.0000,202.0000,388.4000,388.4000,388.4000,412.4000,479.0000,535.0000,765.1000,1265.8200,1704.5200,2566.5200,3941.9330,4598.9330,4850.0430,4970.0430,5069.1130,5810.9340,6376.8840,6510.6840,6390.5540
"World","Bioenergy",29158.6980,31053.2110,32600.8630,34934.2280,37934.7660,43148.3460,47167.6330,50296.9460,54198.4020,61022.3690,65593.8610,71832.0480,76918.6520,84412.6950,90484.3750,96257.0660,105209.2750,110811.0300,117993.8900,123812.5230,132870.7740,143194.6310
"World","Solid biofuels",26723.2710,28286.0930,29566.0950,31430.7050,33565.9420,37542.7630,40863.0970,43015.8570,46226.0260,50953.2690,54194.0380,58462.1740,61722.5000,68388.5910,73129.3140,78155.3520,86216.6480,91174.7360,97258.7950,102058.8130,109871.1580,119213.8230
"World","Bagasse",4174.6390,4569.4200,4619.7170,4708.9290,5234.4110,6207.3310,6430.7340,7007.4480,7737.0450,8306.6330,10651.1790,11857.8780,13071.8710,14757.5990,15743.0070,16835.0390,17730.3860,18290.5240,19052.6550,19783.8520,20185.2310,20631.2150
"World","Renewable municipal waste",3532.8000,3806.2000,3969.6050,4114.1050,4358.8050,4660.6260,5025.6240,4963.4690,5175.1500,5465.0000,6773.4730,6899.2730,7401.8330,8519.7060,8728.9300,9668.4910,10554.4510,11486.1880,12732.1640,14289.7370,17098.4610,19603.6730
"World","Other solid biofuels",19015.8320,19910.4730,20976.7730,22607.6710,23972.7260,26674.8060,29406.7390,31044.9400,33313.8310,37181.6360,36769.3860,39705.0230,41248.7960,45108.2860,48650.3770,51648.8220,57928.8110,61395.0240,65470.9760,67982.2240,72584.4660,78975.9300
"World","Liquid biofuels",0.1540,5.1940,8.1940,63.1940,631.3000,800.7400,926.6770,1033.5050,1212.8100,1697.0530,1868.7060,1906.9270,2066.3960,2041.3570,2338.1300,2418.6950,2322.2590,2357.3080,2402.1490,2627.0670,2551.6820,2585.6820
"World","Biogas",2435.2730,2761.9240,3026.5740,3440.3290,3737.5240,4804.8430,5377.8590,6247.5840,6759.5660,8372.0470,9531.1170,11462.9470,13129.7560,13982.7470,15016.9310,15683.0190,16670.3680,17278.9860,18332.9460,19126.6430,20447.9340,21395.1260
"World","Geothermal",8235.9500,7916.9500,8108.1500,8200.0500,8218.2500,8568.2650,8796.3650,9027.3650,9329.4650,9772.8650,10235.1650,10375.9650,10748.0650,10988.8650,11429.4150,12091.4250,12411.3340,13030.7730,13477.0210,14095.0610,14437.5610,15959.5610
"Africa","Total renewable energy",22032.5289,22171.8339,22392.4179,22788.7769,22786.3309,22932.7709,22953.3739,23290.7349,23779.3909,25867.5361,27029.6051,27473.2380,28444.7957,30648.4247,32660.9407,34981.6157,37640.7597,43088.1218,48439.4543,50572.9533,53608.9583,55862.8353
"Africa","Hydropower",22425.4429,22552.6959,22746.8059,23123.0889,23188.1459,23474.5969,23464.8569,23632.7849,23974.9039,25764.2181,26573.2241,26711.5660,27370.6857,28565.0457,28652.6907,29180.6357,31104.9227,34212.6887,35590.6087,36307.9257,36917.4207,37676.6207
"Africa","Renewable hydropower",21025.4429,21152.6959,21346.8059,21723.0889,21555.1459,21610.5969,21600.8569,21768.7849,22110.9039,23900.2181,24709.2241,24847.5660,25506.6857,26701.0457,26788.6907,27316.6357,28241.9227,31016.6887,32394.6087,33111.9257,33721.4207,34480.6207
"Africa","Pumped storage",1400.0000,1400.0000,1400.0000,1400.0000,1633.0000,1864.0000,1864.0000,1864.0000,1864.0000,1864.0000,1864.0000,1864.0000,1864.0000,1864.0000,1864.0000,1864.0000,2863.0000,3196.0000,3196.0000,3196.0000,3196.0000,3196.0000
"Africa","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Africa","Wind",139.0500,139.0500,144.3100,153.6100,236.1300,240.2000,327.9250,470.1200,555.3200,742.3700,864.7970,995.0020,1127.6040,1741.8340,2399.3980,3320.2680,3826.4140,4579.2630,5471.5530,5528.7530,6484.6530,7334.1530
"Africa","Onshore wind energy",139.0500,139.0500,144.3100,153.6100,236.1300,240.2000,327.9250,470.1200,555.3200,742.3700,864.7970,995.0020,1127.6040,1741.8340,2399.3980,3320.2680,3826.4140,4579.2630,5471.5530,5528.7530,6484.6530,7334.1530
"Africa","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Africa","Solar",10.9270,13.0290,15.2430,18.0190,21.9960,25.9650,34.2680,46.6560,63.3730,106.8450,238.8420,331.3880,410.9540,731.9730,1738.1200,2255.7600,3413.4160,5236.0631,8195.6856,9502.0626,10792.9726,11393.1496
"Africa","Solar photovoltaic",10.9270,13.0290,15.2430,18.0190,21.9960,25.9650,34.2680,46.6560,63.3730,106.8450,193.8420,266.3880,345.9540,666.9730,1573.1200,1930.7600,2988.4160,4711.0631,7210.6856,8417.0626,9707.9726,10308.1496
