"Renewable Electricity generation (GWh) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Tanzania","Solid biofuels",44.04,47.37,53.12,58.87,56.20,64.70,68.34,63.62,63.80,68.40,75.30,115.21,114.77,121.11,126.15,132.72,133.62,138.72,141.37,150.87,146.80
"Tanzania","Bagasse",31.17,34.50,40.25,46.00,46.00,52.90,57.04,56.12,57.50,62.10,69.00,69.49,62.48,68.82,64.40,64.40,65.30,70.40,73.05,82.55,82.55
"Tanzania","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tanzania","Other solid biofuels",12.87,12.87,12.87,12.87,10.20,11.80,11.30,7.50,6.30,6.30,6.30,45.72,52.29,52.29,61.75,68.32,68.32,68.32,68.32,68.32,64.25
"Tanzania","Liquid biofuels",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.21,0.21,0.21,0.21,0.21
"Tanzania","Biogas",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.34,4.34,4.34,4.34,4.34
"Tanzania","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Total renewable energy",90.00,91.77,92.00,235.94,235.94,235.94,172.00,180.00,174.06,219.07,185.18,201.93,165.66,74.64,121.22,58.96,207.18,207.77,212.88,216.13,218.84
"Togo","Hydropower",90.00,91.77,92.00,235.94,235.94,235.94,172.00,180.00,174.00,219.00,185.00,201.55,165.14,74.00,120.00,56.44,204.00,204.00,204.00,204.00,204.00
"Togo","Renewable hydropower",90.00,91.77,92.00,235.94,235.94,235.94,172.00,180.00,174.00,219.00,185.00,201.55,165.14,74.00,120.00,56.44,204.00,204.00,204.00,204.00,204.00
"Togo","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Wind",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Onshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Solar",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.18,0.38,0.52,0.64,1.22,2.53,3.18,3.77,8.88,12.13,14.84
"Togo","Solar photovoltaic",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.18,0.38,0.52,0.64,1.22,2.53,3.18,3.77,8.88,12.13,14.84
"Togo","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Bioenergy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Togo","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tunisia","Total renewable energy",88.51,79.75,95.95,201.46,199.23,59.07,131.57,93.69,79.67,178.91,191.96,168.06,315.93,435.07,593.64,567.59,587.51,550.74,584.75,710.09,663.80
"Tunisia","Hydropower",64.00,54.00,64.00,166.00,153.50,14.52,91.70,48.60,37.90,78.90,50.10,53.66,109.60,60.10,55.91,70.00,45.00,17.00,17.00,66.00,46.00
"Tunisia","Renewable hydropower",64.00,54.00,64.00,166.00,153.50,14.52,91.70,48.60,37.90,78.90,50.10,53.66,109.60,60.10,55.91,70.00,45.00,17.00,17.00,66.00,46.00
"Tunisia","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tunisia","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tunisia","Wind",23.00,24.00,30.00,33.40,43.60,42.40,37.70,42.90,39.40,97.50,138.60,109.19,196.30,357.80,507.00,448.00,474.00,449.00,453.00,500.00,465.00
"Tunisia","Onshore wind energy",23.00,24.00,30.00,33.40,43.60,42.40,37.70,42.90,39.40,97.50,138.60,109.19,196.30,357.80,507.00,448.00,474.00,449.00,453.00,500.00,465.00
"Tunisia","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tunisia","Solar",1.51,1.75,1.95,2.06,2.13,2.15,2.17,2.19,2.37,2.51,3.26,5.21,10.03,17.17,30.73,49.59,68.51,84.74,114.75,144.09,152.80
"Tunisia","Solar photovoltaic",1.51,1.75,1.95,2.06,2.13,2.15,2.17,2.19,2.37,2.51,3.26,5.21,10.03,17.17,30.73,49.59,68.51,84.74,114.75,144.09,152.80
"Tunisia","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tunisia","Bioenergy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tunisia","Solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tunisia","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tunisia","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tunisia","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tunisia","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tunisia","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tunisia","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Uganda","Total renewable energy",1606.95,1609.15,1740.93,1802.90,1946.98,1910.02,1219.46,1323.11,1447.88,1328.01,1443.13,1661.41,2615.39,3443.48,3494.53,3393.49,3540.61,3690.48,3941.23,4392.92,4417.98
"Uganda","Hydropower",1577.13,1577.13,1702.33,1757.43,1896.63,1858.66,1162.61,1264.91,1375.87,1236.92,1265.34,1512.80,2430.11,3224.19,3259.28,3115.03,3249.42,3401.84,3584.25,3999.50,4028.12
"Uganda","Renewable hydropower",1577.13,1577.13,1702.33,1757.43,1896.63,1858.66,1162.61,1264.91,1375.87,1236.92,1265.34,1512.80,2430.11,3224.19,3259.28,3115.03,3249.42,3401.84,3584.25,3999.50,4028.12
"Uganda","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Uganda","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Uganda","Wind",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Uganda","Onshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Uganda","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Uganda","Solar",0.29,1.16,1.60,2.47,3.34,4.36,7.85,11.20,17.01,20.62,21.68,23.61,25.18,26.90,29.08,31.99,38.60,61.68,70.99,117.10,122.04
"Uganda","Solar photovoltaic",0.29,1.16,1.60,2.47,3.34,4.36,7.85,11.20,17.01,20.62,21.68,23.61,25.18,26.90,29.08,31.99,38.60,61.68,70.99,117.10,122.04
"Uganda","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Uganda","Bioenergy",29.52,30.85,37.00,43.00,47.00,47.00,49.00,47.00,55.00,70.47,156.11,125.00,160.09,192.40,206.17,246.47,252.60,226.97,286.00,276.32,267.82
"Uganda","Solid biofuels",29.52,30.85,37.00,43.00,47.00,47.00,49.00,47.00,55.00,70.47,156.11,125.00,160.09,192.40,206.17,246.47,252.60,226.97,286.00,276.32,267.82
"Uganda","Bagasse",29.52,30.85,37.00,43.00,47.00,47.00,49.00,47.00,55.00,70.47,156.11,125.00,160.09,192.40,206.17,246.47,252.60,226.97,286.00,276.32,267.82
"Uganda","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Uganda","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Uganda","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Uganda","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Uganda","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zambia","Total renewable energy",7836.65,9019.51,8338.02,8348.36,8099.33,8753.97,9869.57,9923.02,9864.03,10601.50,10891.38,11938.35,12419.39,13348.57,14115.25,13110.33,11101.34,12552.24,13775.20,12482.80,13036.32
"Zambia","Hydropower",7797.64,8980.50,8299.00,8309.35,8060.32,8714.61,9830.56,9884.36,9830.24,10547.21,10826.89,11875.19,12351.92,13282.91,14044.13,13037.17,11025.60,12473.94,13695.57,12334.61,12794.96
"Zambia","Renewable hydropower",7797.64,8980.50,8299.00,8309.35,8060.32,8714.61,9830.56,9884.36,9830.24,10547.21,10826.89,11875.19,12351.92,13282.91,14044.13,13037.17,11025.60,12473.94,13695.57,12334.61,12794.96
"Zambia","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zambia","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zambia","Wind",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zambia","Onshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zambia","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zambia","Solar",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.16,0.16,1.32,69.89,163.05
"Zambia","Solar photovoltaic",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.16,0.16,1.32,69.89,163.05
"Zambia","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zambia","Bioenergy",39.01,39.01,39.01,39.01,39.01,39.37,39.01,38.66,33.80,54.29,64.49,63.16,67.47,65.55,71.02,73.06,75.58,78.14,78.31,78.31,78.31
"Zambia","Solid biofuels",39.01,39.01,39.01,39.01,39.01,39.37,39.01,38.66,33.80,54.29,64.49,63.16,67.47,65.55,71.02,73.06,75.58,78.14,78.31,78.31,78.31
"Zambia","Bagasse",39.01,39.01,39.01,39.01,39.01,39.37,39.01,38.66,33.80,54.29,64.49,63.16,67.47,65.55,71.02,73.06,75.58,78.14,78.31,78.31,78.31
"Zambia","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zambia","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zambia","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zambia","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zambia","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zimbabwe","Total renewable energy",3292.59,3100.64,3881.39,5398.70,5590.46,4978.64,5389.05,5446.35,5765.06,5514.50,5862.87,5274.80,5754.17,5345.41,5788.46,5339.06,3190.33,4186.57,5992.35,5904.36,4198.62
"Zimbabwe","Hydropower",3208.04,3008.04,3808.04,5308.04,5508.04,4908.04,5315.41,5388.41,5713.41,5463.41,5804.71,5209.01,5396.01,5001.17,5468.22,5049.05,2693.92,4086.52,5636.80,5510.82,3882.00
"Zimbabwe","Renewable hydropower",3208.04,3008.04,3808.04,5308.04,5508.04,4908.04,5315.41,5388.41,5713.41,5463.41,5804.71,5209.01,5396.01,5001.17,5468.22,5049.05,2693.92,4086.52,5636.80,5510.82,3882.00
"Zimbabwe","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zimbabwe","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zimbabwe","Wind",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zimbabwe","Onshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zimbabwe","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zimbabwe","Solar",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,1.58,3.44,4.72,7.56,8.93,10.92,18.95,25.64,33.52
"Zimbabwe","Solar photovoltaic",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,1.58,3.44,4.72,7.56,8.93,10.92,18.95,25.64,33.52
"Zimbabwe","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zimbabwe","Bioenergy",84.55,92.60,73.35,90.66,82.42,70.60,73.64,57.94,51.64,51.09,58.16,65.48,356.58,340.80,315.52,282.46,487.48,89.13,336.60,367.90,283.10
"Zimbabwe","Solid biofuels",84.55,92.60,73.35,90.66,82.42,70.60,73.64,57.94,51.64,51.09,58.16,65.48,356.58,340.80,315.52,282.46,487.48,89.13,336.60,367.90,283.10
"Zimbabwe","Bagasse",84.55,92.60,73.35,90.66,82.42,70.60,73.64,57.94,51.64,46.77,53.84,61.16,245.18,245.00,221.32,194.96,306.48,85.80,252.70,252.70,252.70
"Zimbabwe","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zimbabwe","Other solid biofuels",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.32,4.32,4.32,111.40,95.80,94.20,87.50,181.00,3.33,83.90,115.20,30.40
"Zimbabwe","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zimbabwe","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zimbabwe","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Asia","Total renewable energy",560563.33,616090.42,625924.51,645620.99,733896.66,787287.16,871434.72,930042.18,1060252.57,1105192.42,1268463.18,1317314.93,1560765.88,1684665.57,1911276.55,2039224.56,2230431.17,2430982.56,2649758.87,2882873.20,3118543.52
"Asia","Hydropower",537181.40,592109.85,597034.43,613028.93,696966.51,741530.69,819319.47,867985.94,977305.55,998562.00,1132483.00,1138685.44,1328883.45,1389569.93,1550964.99,1606870.41,1686075.03,1731131.59,1776187.76,1850643.32,1927807.22
"Asia","Renewable hydropower",513943.05,568908.90,575838.08,593131.38,676260.16,719173.33,796547.50,841171.40,953475.83,973945.68,1102806.40,1109179.24,1299985.85,1360151.13,1520057.39,1574130.21,1635883.83,1677402.39,1722478.56,1798269.12,1872988.02
"Asia","Pumped storage",23238.35,23200.95,21196.35,19897.55,20706.35,22357.36,22771.97,26814.54,23829.72,24616.32,29676.60,29506.20,28897.60,29418.80,30907.60,32740.20,50191.20,53729.20,53709.20,52374.20,54819.20
"Asia","Marine",6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,7.54,58.81,472.42,490.50,498.51,502.51,502.51,495.51,491.51,480.51,463.51
"Asia","Wind",2063.27,2565.32,3527.43,4467.98,6632.80,9153.80,12412.97,18579.63,27280.43,44679.69,71213.99,98459.87,133554.10,172097.76,196706.74,228801.32,291351.38,368145.73,440006.85,492084.48,555824.22
"Asia","Onshore wind energy",2063.27,2565.32,3527.43,4465.88,6630.70,9151.70,12410.87,18557.99,27258.79,44657.97,71004.22,98090.98,133011.41,171224.70,195846.27,227762.07,288606.96,362620.82,430548.08,479420.07,539633.21
"Asia","Offshore wind energy",0.00,0.00,0.00,2.10,2.10,2.10,2.10,21.64,21.64,21.72,209.78,368.89,542.69,873.06,860.46,1039.25,2744.42,5524.90,9458.77,12664.41,16191.01
"Asia","Solar",401.92,607.01,733.76,967.65,1246.07,1608.00,1983.44,2348.98,2871.15,3765.18,5322.13,8403.64,14060.98,27082.17,55786.57,89420.67,136383.76,208358.47,292521.72,370316.49,447984.58
"Asia","Solar photovoltaic",401.92,607.01,733.76,967.65,1246.07,1608.00,1983.44,2348.98,2871.15,3765.18,5321.63,8398.64,14048.93,26991.27,55413.42,89051.39,136014.48,207989.19,292152.44,369941.73,447604.34
"Asia","Concentrated solar power",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,5.00,12.05,90.89,373.14,369.28,369.28,369.28,369.28,374.76,380.24
"Asia","Bioenergy",23781.10,24069.69,25733.31,27727.94,29706.82,37518.13,40184.81,47561.65,54742.08,60195.62,67053.83,79083.34,90276.17,103077.66,115116.32,122538.31,141937.40,150944.35,167136.93,193939.86,211826.77
"Asia","Solid biofuels",23743.82,24029.91,25634.52,27600.15,29453.03,37281.85,39894.17,47048.25,54120.19,59521.32,65762.85,77512.28,88467.59,100848.34,111385.23,117360.40,136337.45,145113.56,158102.39,183387.66,200549.29
"Asia","Bagasse",2053.21,2027.07,2180.59,2264.57,2337.38,2207.54,2195.81,2414.03,2627.79,2282.54,2274.55,2495.41,2760.18,3051.26,2956.13,3360.63,4180.53,4993.99,4815.94,4575.18,4753.02
"Asia","Renewable municipal waste",2146.28,2402.28,2624.28,2817.28,2948.28,3013.71,3030.25,3133.22,3095.53,2892.66,12230.77,12794.14,12605.52,15038.49,16799.31,19308.66,21251.05,25401.67,29496.66,36610.82,42825.99
"Asia","Other solid biofuels",19544.33,19600.56,20829.66,22518.30,24167.37,32060.61,34668.12,41500.99,48396.86,54346.11,51257.53,62222.73,73101.89,82758.60,91629.78,94691.11,110905.87,114717.90,123789.80,142201.66,152970.28
"Asia","Liquid biofuels",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,537.00,1233.00,1358.00,1229.00,1592.00,2295.00,1918.00
"Asia","Biogas",37.28,39.79,98.79,127.79,253.79,236.29,290.64,513.41,621.89,674.30,1290.98,1571.06,1808.58,2229.32,3194.09,3944.91,4241.96,4601.78,7442.54,8257.20,9359.48
"Asia","Geothermal",20367.50,19933.00,20085.43,19319.55,20044.31,19827.39,20299.50,20374.03,21876.58,22599.76,22059.29,22130.03,22416.36,21766.35,23111.04,23831.54,24372.29,25636.13,27123.30,27782.75,29456.42
"Afghanistan","Total renewable energy",457.94,457.94,457.95,458.32,458.65,461.58,659.96,691.79,591.90,753.83,803.32,682.56,764.64,884.60,1000.13,1034.01,1060.53,1086.86,964.98,1192.70,1115.39
"Afghanistan","Hydropower",457.94,457.94,457.95,458.32,458.65,461.58,659.96,691.79,591.90,753.83,803.14,682.34,736.15,854.83,967.68,1000.57,1024.91,1048.70,927.65,1142.88,1052.61
"Afghanistan","Renewable hydropower",457.94,457.94,457.95,458.32,458.65,461.58,659.96,691.79,591.90,753.83,803.14,682.34,736.15,854.83,967.68,1000.57,1024.91,1048.70,927.65,1142.88,1052.61
"Afghanistan","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Afghanistan","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Afghanistan","Wind",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
"Afghanistan","Onshore wind energy",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
"Afghanistan","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Afghanistan","Solar",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.21,28.37,29.64,32.32,33.32,35.50,38.03,37.21,49.70,62.66
"Afghanistan","Solar photovoltaic",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.21,28.37,29.64,32.32,33.32,35.50,38.03,37.21,49.70,62.66
"Afghanistan","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Afghanistan","Bioenergy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Afghanistan","Solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Afghanistan","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Afghanistan","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Afghanistan","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Afghanistan","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Afghanistan","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Afghanistan","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bangladesh","Total renewable energy",1389.01,1293.01,1226.07,1126.85,1067.91,996.40,953.00,759.61,744.18,637.58,898.22,936.48,979.67,916.68,777.08,1009.35,1249.73,1313.40,1198.48,1148.61,1174.76
"Bangladesh","Hydropower",1389.00,1293.00,1226.00,1126.00,1066.00,993.00,946.00,749.00,726.09,607.14,848.31,872.13,882.98,781.49,606.55,802.40,1020.93,1051.23,914.61,812.17,776.69
"Bangladesh","Renewable hydropower",1389.00,1293.00,1226.00,1126.00,1066.00,993.00,946.00,749.00,726.09,607.14,848.31,872.13,882.98,781.49,606.55,802.40,1020.93,1051.23,914.61,812.17,776.69
"Bangladesh","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bangladesh","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bangladesh","Wind",0.00,0.00,0.00,0.00,0.00,0.00,1.58,1.58,2.89,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08
"Bangladesh","Onshore wind energy",0.00,0.00,0.00,0.00,0.00,0.00,1.58,1.58,2.89,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08
"Bangladesh","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bangladesh","Solar",0.01,0.01,0.07,0.85,1.91,3.40,5.42,9.04,15.20,25.08,44.23,58.40,90.45,128.66,163.70,198.31,220.00,253.36,275.07,327.63,389.13
"Bangladesh","Solar photovoltaic",0.01,0.01,0.07,0.85,1.91,3.40,5.42,9.04,15.20,25.08,44.23,58.40,90.45,128.66,163.70,198.31,220.00,253.36,275.07,327.63,389.13
"Bangladesh","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bangladesh","Bioenergy",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.59,0.88,1.17,1.45,1.75,3.56,3.73,3.73,3.73,3.73,3.86
"Bangladesh","Solid biofuels",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75,1.75,1.75,1.75,1.75,1.75
"Bangladesh","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bangladesh","Renewable municipal waste",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bangladesh","Other solid biofuels",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75,1.75,1.75,1.75,1.75,1.75
"Bangladesh","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bangladesh","Biogas",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.59,0.88,1.17,1.45,1.75,1.81,1.98,1.98,1.98,1.98,2.11
"Bangladesh","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bhutan","Total renewable energy",1967.88,1931.99,2129.25,2363.07,2439.86,2499.68,3582.60,5540.86,6761.82,6979.27,6997.68,7066.60,6823.78,7549.89,7164.54,7747.49,7959.95,7722.55,6960.16,8646.33,11371.22
"Bhutan","Hydropower",1967.88,1931.99,2129.25,2363.07,2439.86,2499.50,3582.21,5540.48,6761.43,6978.89,6997.29,7066.22,6823.39,7549.50,7164.15,7747.10,7958.86,7721.05,6958.64,8645.94,11369.73
"Bhutan","Renewable hydropower",1967.88,1931.99,2129.25,2363.07,2439.86,2499.50,3582.21,5540.48,6761.43,6978.89,6997.29,7066.22,6823.39,7549.50,7164.15,7747.10,7958.86,7721.05,6958.64,8645.94,11369.73
"Bhutan","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bhutan","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bhutan","Wind",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,1.11,1.14,0.00,1.11
"Bhutan","Onshore wind energy",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,1.11,1.14,0.00,1.11
"Bhutan","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bhutan","Solar",0.00,0.00,0.00,0.00,0.00,0.18,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
"Bhutan","Solar photovoltaic",0.00,0.00,0.00,0.00,0.00,0.18,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
"Bhutan","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bhutan","Bioenergy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
