"Renewable Electricity generation (GWh) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Africa","Solar",15.26,18.54,21.83,25.90,31.36,36.96,47.11,62.10,81.62,113.09,218.97,666.52,1173.45,870.65,2160.74,3454.50,5305.21,7948.45,10294.88,13054.55,17036.62
"Africa","Solar photovoltaic",15.26,18.54,21.83,25.90,31.36,36.96,47.11,62.10,81.62,113.09,218.86,339.04,462.22,638.87,1810.15,3038.79,4104.02,6080.64,7854.99,9448.13,13801.26
"Africa","Concentrated solar power",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,327.49,711.24,231.77,350.59,415.71,1201.19,1867.81,2439.89,3606.42,3235.36
"Africa","Bioenergy",2181.70,2203.65,2269.94,2236.28,2312.09,2342.79,2334.70,2308.66,2313.35,2418.69,2559.09,2588.36,2946.13,3025.07,2937.36,2991.15,3298.87,2947.71,3292.91,3401.29,3202.94
"Africa","Solid biofuels",2181.70,2203.65,2269.94,2236.28,2312.09,2342.79,2334.70,2299.66,2294.97,2398.59,2532.77,2560.00,2899.91,2971.28,2883.74,2923.04,3215.62,2830.98,3161.84,3236.12,3034.97
"Africa","Bagasse",2088.05,2097.00,2162.15,2136.71,2209.55,2241.88,2243.65,2208.18,2210.80,2327.55,2496.70,2490.89,2716.97,2800.26,2693.82,2733.24,2929.42,2714.66,2965.14,3008.13,2895.85
"Africa","Renewable municipal waste",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Africa","Other solid biofuels",93.64,106.65,107.79,99.58,102.54,100.91,91.05,91.49,84.18,71.04,36.07,69.11,182.94,171.02,189.93,189.80,286.20,116.33,196.70,228.00,139.13
"Africa","Liquid biofuels",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.36,0.51,0.51,0.51,2.81,7.21,4.41
"Africa","Biogas",0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,18.38,20.10,26.33,28.37,46.22,53.74,53.26,67.61,82.74,116.22,128.26,157.96,163.56
"Africa","Geothermal",432.00,474.50,438.00,588.00,911.50,1019.00,1030.00,1060.50,1144.00,1301.15,1401.09,1496.81,1586.88,1906.05,3206.09,4481.10,4688.93,4870.66,5168.94,5383.86,5384.88
"Algeria","Total renewable energy",54.00,69.00,57.40,265.20,251.10,555.26,217.57,226.08,282.71,342.00,172.88,481.34,582.63,291.02,391.33,326.51,430.50,635.11,781.66,840.05,721.05
"Algeria","Hydropower",54.00,69.00,57.40,265.20,251.10,555.26,217.57,226.08,282.71,342.00,172.78,378.22,389.40,98.48,192.60,145.32,72.00,56.00,117.00,152.00,50.00
"Algeria","Renewable hydropower",54.00,69.00,57.40,265.20,251.10,555.26,217.57,226.08,282.71,342.00,172.78,378.22,389.40,98.48,192.60,145.32,72.00,56.00,117.00,152.00,50.00
"Algeria","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Algeria","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Algeria","Wind",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,19.24,19.40,19.40,10.00,10.00,8.00
"Algeria","Onshore wind energy",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,19.24,19.40,19.40,10.00,10.00,8.00
"Algeria","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Algeria","Solar",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,103.12,193.23,192.54,197.73,161.95,339.10,559.71,654.66,678.05,663.05
"Algeria","Solar photovoltaic",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,13.75,204.70,373.60,521.55,544.93,544.93
"Algeria","Concentrated solar power",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,103.12,193.23,192.54,196.83,148.21,134.40,186.11,133.11,133.11,118.11
"Algeria","Bioenergy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
